@relation 'Clasfication2Weka-weka.filters.unsupervised.attribute.StringToWordVector-Rfirst-last-W1000-prune-rate-1.0-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-weka.filters.unsupervised.attribute.NominalToString-C2-weka.filters.unsupervised.attribute.NumericToBinary-R5-last-weka.filters.unsupervised.attribute.NumericToNominal-R53'

@attribute Id numeric
@attribute Description string
@attribute 'Initiative status' {'In progress',Pilot,Live,Research}
@attribute TherapeuticArea {Breast,Lung,Ophtha,Liver,'Alzheimers Disease',Haemophilia}
@attribute Prevention_binarized {0,1}
@attribute Unwellness_binarized {0,1}
@attribute Prediagnosis_binarized {0,1}
@attribute Treatment_binarized {0,1}
@attribute 'Maintain life_binarized' {0,1}
@attribute End_of_life_support_binarized {0,1}
@attribute Be_up_to_date_HCP_binarized {0,1}
@attribute 'Manage_and_treat_ my_patient_HCP_binarized' {0,1}
@attribute Advance_medical_science_HCP_binarized {0,1}
@attribute Manage_my_business_HCP_binarized {0,1}
@attribute Digital_Health_Solution_Dig_cat_binarized {0,1}
@attribute Information_Dig_Cat_binarized {0,1}
@attribute Service_Dig_Cat_binarized {0,1}
@attribute Arabic_binarized {0,1}
@attribute Bosnian_binarized {0,1}
@attribute Bulgarian_binarized {0,1}
@attribute Chinese_binarized {0,1}
@attribute Croatian_binarized {0,1}
@attribute Czech_binarized {0,1}
@attribute Danish_binarized {0,1}
@attribute Dutch_binarized {0,1}
@attribute English_binarized {0,1}
@attribute Estonian_binarized {0,1}
@attribute Finnish_binarized {0,1}
@attribute French_binarized {0,1}
@attribute German_binarized {0,1}
@attribute Greek_binarized {0,1}
@attribute Hebrew_binarized {0,1}
@attribute Hungarian_binarized {0,1}
@attribute Indonesian_binarized {0,1}
@attribute Italian_binarized {0,1}
@attribute Korean_binarized {0,1}
@attribute Latvian_binarized {0,1}
@attribute Lithuanian_binarized {0,1}
@attribute Macedonian_binarized {0,1}
@attribute 'Multiple Languages_binarized' {0,1}
@attribute Norwegian_binarized {0,1}
@attribute Polish_binarized {0,1}
@attribute Portuguese_binarized {0,1}
@attribute Romanian_binarized {0,1}
@attribute Russian_binarized {0,1}
@attribute Serbian_binarized {0,1}
@attribute Slovakian_binarized {0,1}
@attribute Spanish_binarized {0,1}
@attribute Swedish_binarized {0,1}
@attribute Thai_binarized {0,1}
@attribute Turkish_binarized {0,1}
@attribute Vietnamese_binarized {0,1}
@attribute GlobalRollout {0,1}

@data
138,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
140,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,'The new version of ACE Cloud Academy  Pilot three major sections Medicine Class Medicine Information and Medicine Growth  From live lectures to dialogue columns graphic information to popular science videos answering competitions to strength demonstrations richer content and more interesting activities On WeChat Platform',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,'Hepatocellular Carcinoma Medical Education Program Series of 10 talks with national and international exhibitors Aimed at health professionals linked to the diagnosis and  or management of hepatocellular carcinoma It does not require prior registration',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
144,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,'RocheInteract is an educational resource strictly for Filipino healthcare professionals It features useful information on Roche pharmaceutical products and Roche Foundation Medicine services and tools',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,'Mobile Verification is an application which let you to verify Roche medicine codes You can use the app to check if a code is a valid Roches medicine code by scanning code or entering GTIN and serial number',Live,Lung,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
147,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
148,'All products are mentioned at the webpage which has RMinA documents',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,'This tool provides information for healthcare professionals who are prescribing Atezolizumab It is intended to act as a cursory advisory guide for oncologists who are treating metastatic urothelial carcinoma mUC or nonsmall cell lung cancer NSCLC or small cell lung cancer SCLC and advanced triplenegative breast cancer mTNBC',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,'Foundation Medicine Login',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,'RocheProPlus  an online resource that is designed to provide healthcare professionals with information and support to help them and their patients',Live,Lung,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,'Redirect to rocheonlinech The Roche onestop portal for healthcare professionals to get information about Roche products scientific data and services',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,'Channel about Medical information Science Training',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,'Channel about Medical information Science Training',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
155,'Information to safely use Tecentriq',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
156,'Educational resource for Indonesia healthcare professionals It features useful information on Roche pharmaceutical products services and tools',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,'Website with information about lung cancer a registry to find hospitals as well as a LINE account called Lung and Me where patients can connect with HCPs The initiative is supported also with a FB page and YouTube channel',Live,Lung,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158,'Targeted therapies are being studied to advance treatment options for patients with actionable biomarkers € patients with gene fusions need highquality molecular testing to realise these opportunities',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
159,'Access to Lung Cancer Care via your mobile device',Live,Lung,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,'The channel offers a wide range of Medical Information',Live,Lung,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,'Welcome to RocheGydytojamslt Healthcare professionals can find information on Roche events medical content useful links tools and more on the portal You can view all content when signed in',Live,Lung,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,'This is a new HUB that provides the latest information related to Roche Koreas products in one stop','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,'This portal provides you with uptodate information about Roche products and services medical event reviews and videos and useful materials to use in your clinical practice and when communicating with patients',Live,Lung,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
165,'Patients with cancer may be receiving a cancer immunotherapy such as TECENTRIQ atezolizumab or another cancer therapy such as bevacizumab as part of their cancer treatment These therapies often have a very different adverse event profile to chemotherapy and it is critical to assess and manage the patient differently',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,'Training portal with the objective is to equip healthcare professionals with the knowledge techniques and skills of the specialty you have chosen',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
167,'RocheInteract is an educational for healthcare professionals It features useful information on Roche pharmaceutical products and Roche Foundation Medicine services and tools',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
170,'This is an educational platform dedicated to genomic profiling For physicians and other healthcare professionals interested in learning more about the values €¹€¹of genomic tumor profiling in various therapeutic areas in oncology and the importance of applying the concept of personalized medicine in everyday clinical practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,'On MyRoche you can keep up to date with the latest advances news and disease awareness content across various therapeutic areas Please select an option from the list below',Live,Lung,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,'A course about Small Cell Lung Cancer 8 Lectures 80 minutes insight into the latest research progress of small cell lung cancer',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,'Bulgarian Association of Young Surgeons BAMH for the 7th time organizes the first course for Online training in medical oncology in Bulgaria','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
174,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,'Foundation Medicine Login',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,'Redirect to httpsrodiprochecomidp The Roche onestop portal for healthcare professionals to get information about Roche products scientific data and services',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,'This website contains educational resources for Malaysian healthcare professionals Login or register for information on Roche medicines resources patient assistance programmes and services',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,'Medical and Scientific Affairs is a strategic and educational partner to health care professionals in the United States','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,'A podcast with talks to health experts about medical and science topics',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
181,'Website for Healthcare Professionals with Information Tecentriq treatment',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
182,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,'Diagnosis with VENTANA ALK',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,'Pathology Education Portal | Roche Tissue Diagnostics',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
185,'Roche Pipeline',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,'Virtual trainings for HCP',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,'Docquity for iPhone Android and Web is a communication learning and information exchange tool for Doctors','In progress',Lung,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,'Regarding the description you can add the following text that I found on the intranet PAIRS delivers an automated and transparent process flow from the submission of PreApprovalAccess Compassionate Use and PostTrial Access programs PAACU and PTA incoming requests by treating physicians until drug supply delivery to patients','In progress',Lung,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,'MDT Checklist site The following checklist will help you to have an overview of the functioning of a multidisciplinary team in lung cancer and will help you to know potential points for improvement',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
190,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
191,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,'Foundation Medicine Login','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
193,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,'To send a sample request you need a RochePro account','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,'CliniOps support digital Clinical trials leveraging AI mobile analytics cloud sensors and connected devices CliniOpss innovative mobile eClinical solutions helps Pharma Biotech and Medical device companies bring drugs and devices faster to market with high data quality and less cost','In progress',Lung,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,'On this page we present information NTRK mergers from theory to practice w knees of IHC tests on the samples using a test VENTANA panTRK',Live,Lung,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
198,'This program offers patients a personalized attention service in which the member will be able to receive both the guidance they need for the acquisition of the medication they require as well as the guide to available services that Por Ti offers them Throughout the process the treating physician has a fundamental role',Live,Lung,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
199,'Before selecting a firstline therapy for a patient with mNSCLC its important to have all the information you need to make an informed decision This includes waiting for all biomarker test results€in addition to PDL1',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,'Gazyva Product Site',Live,Lung,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,'ROCHE Pilot the MojeMedicinacz website in 2009 and since then it has quickly grown into a multimedia portal The portal offers an extensive archive which currently contains more than 2000 articles over 1000 videos over 340 presentations professional articles and presentations videos from congresses invitations to congresses and educational events information on medicinal products case reports and clinical studies advice for patients etc',Live,Lung,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,'RocheNet is a service developed and oriented exclusively for Health Professionals with specialized content that meets their interests',Live,Lung,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
203,'RocheInteract is an educational for healthcare professionals It features useful information on Roche pharmaceutical products and Roche Foundation Medicine services and tools',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,'ScreenYourLungsorg is a campaign to increase awareness and encourage high risk patients to get an LDCT screening The website offers free materials resources and tools to help patients Find a local screening center Take a personalized screening quiz Get questions to ask their doctor about screenings Understand their screening results Quit smoking',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,'Avastin site Login needed',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
206,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,'Webportal and mobile app Medikaynak for healthcare professionals for various treatment areas to date medical information sources',Live,Lung,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
208,'The Roche onestop portal for healthcare professionals to get information about Roche products scientific data and services',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,'Redirect to httpsrodiprochecom HCP Information platform',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,'Redirects to httpsrochedemodocebosaascomlearn Browse Roches Courses and Learning Plans Own your future by learning new skills','In progress',Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,'A place of exchange of knowledge and experiences from clinical practice based on scientific evidence',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,'Browse Roches Courses and Learning Plans Own your future by learning new skills',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,'Foundation Medicines comprehensive molecular tumor profiling approach uses hybrid capturebased nextgeneration sequencing NGS technology to examine regions of the tumor genome that other tests cannot',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,'Roche + is a Portal for health professionals where you will find updated information on drugs pathologies and different resources of professional interest',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
216,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
217,'A website designed for Healthcare Professionals which brings together all the services and resources that will help you in their daily practice',Live,Lung,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
